replicate_group	run_accession	compatibility	replicate_type	evidence
PRJNA667472_CHO-K1_bulk_ATAC	SRR12774931	compatible	unspecified	Same study, CHO-K1 bulk ATAC condition; pilot reproducibility evidence
PRJNA667472_CHO-K1_bulk_ATAC	SRR12774932	compatible	unspecified	Same study, CHO-K1 bulk ATAC condition; pilot reproducibility evidence
