study_accession	n_runs	omics	study_title	cell_line	cell_type	sample_title	library_name
PRJNA504034	68	RNA-seq	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	NA	NA	Model organism or animal sample from Cricetulus griseus	29 | 28 | 21 | 23 | 47 | 48 | 45 | 43 | 44 | 42 | 62 | 64 | 66 | 49 | 50 | 67 | 19 | 13 | 17 | 33 | 32 | 31 | 38 | 37 | 36 | 35 | 40 | 56 | 3 | 2 | 6 | 58 | 51 | 25 | 26 | 27 | 22 | 54 | 68 | 20 | 11 | 34 | 60 | 10 | 4 | 8 | 7 | 5 | 57 | 52 | 30 | 24 | 46 | 41 | 61 | 63 | 65 | 55 | 12 | 14 | 16 | 15 | 18 | 53 | 39 | 59 | 9 | 1
PRJNA512907	4	ATAC-seq	DNA Zoo	NA	NA	Chinese hamster	L2028 | L869 | L868 | L2027
PRJNA545135	24	RNA-seq	Interpreting an apoptotic corpse as anti-inflammatory involves a chloride sensing pathway	NA	Apoptotic Cells from human (Jurkat Lymphoma) | Actively engulfing (i.e. CypHer5E+) phagocytes were FACS sorted. Apoptotic Cells from human (Jurkat Lymphoma)	CT-1-12162016: Phagocytes alone | CD1-12162016: Phagocytes + Cytochalasin D | ACD1-12162016: Phagocytes + Apoptotic Cells + Cytochalasin D | RaviLabHam.09: WT Phagocytes + Apoptotic Cells | RaviLabHam.10: WT Phagocytes + Apoptotic Cells | RaviLabHam.11: Slc12a2-deficient Phagocytes + Apoptotic Cells | CT-4-12162016: Phagocytes alone | CD2-12162016: Phagocytes + Cytochalasin D | CD4-12162016: Phagocytes + Cytochalasin D | AC1-12162016: Phagocytes + Apoptotic Cells | AC3-12162016: Phagocytes + Apoptotic Cells | AC4-12162016: Phagocytes + Apoptotic Cells | ACD2-12162016: Phagocytes + Apoptotic Cells + Cytochalasin D | ACD3-12162016: Phagocytes + Apoptotic Cells + Cytochalasin D | RaviLabHam.13: WT Phagocytes + Apoptotic Cells | RaviLabHam.14: WT Phagocytes + Apoptotic Cells | CT-2-12162016: Phagocytes alone | CT-3-12162016: Phagocytes alone | CD3-12162016: Phagocytes + Cytochalasin D | AC2-12162016: Phagocytes + Apoptotic Cells | ACD4-12162016: Phagocytes + Apoptotic Cells + Cytochalasin D | RaviLabHam.12: Slc12a2-deficient Phagocytes + Apoptotic Cells | RaviLabHam.15: Slc12a2-deficient Phagocytes + Apoptotic Cells | RaviLabHam.16: Slc12a2-deficient Phagocytes + Apoptotic Cells	NA
PRJNA545309	12	RNA-seq	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	LR73	NA	FA-2 | DA-4 | FL-2 | DA-1 | DA-2 | FL-1 | FL-3 | FL-4 | FA-1 | FA-3 | FA-4 | DA-3	NA
PRJNA564074	8	RNA-seq	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	NA	NA	Sample 127463: eGFP4 | Sample 127458: WTICD1 | Sample 127459: WTICD3 | Sample 127460: WTICD4 | Sample 127461: WTICD5 | Sample 127464: eGFP5 | Sample 127462: eGFP3 | Sample 127465: eGFP6	NA
PRJNA580502	12	RNA-seq	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	NA	NA	Model organism or animal sample from Cricetulus griseus	Cricetulus.griseus.2868sTS.Male1.Liver | Cricetulus.griseus.3071sTS.Male1.Kidney | Cricetulus.griseus.2866sTS.Male1.Heart | Cricetulus.griseus.2865sTS.Male1.Testis | Cricetulus.griseus.2863sTS.Male1.Brain | Cricetulus.griseus.2867sTS.Female1.Liver | Cricetulus.griseus.3068sTS.Female1.Cerebellum | Cricetulus.griseus.2864sTS.Male1.Cerebellum | Cricetulus.griseus.2871sTS.Female1.Ovary | Cricetulus.griseus.3070sTS.Female1.Kidney | Cricetulus.griseus.3069sTS.Female1.Heart | Cricetulus.griseus.3067sTS.Female1.Brain
PRJNA601957	20	RNA-seq	Comprehensive analysis of mRNA and lncRNA transcriptomes reveals the differentially hypoxic response of preadipocytes during adipogenesis	NA	Primary Preadipocyte	Normoxia_D0_1 | Hypoxia_D0_1 | Hypoxia_D0_2 | Normoxia_D3_1 | Hypoxia_D3_1 | Normoxia_D7_2 | Normoxia_D11_2 | Normoxia_D1_2 | Hypoxia_D1_1 | Hypoxia_D1_2 | Normoxia_D11_1 | Hypoxia_D11_2 | Normoxia_D0_2 | Normoxia_D1_1 | Normoxia_D3_2 | Hypoxia_D3_2 | Normoxia_D7_1 | Hypoxia_D7_1 | Hypoxia_D7_2 | Hypoxia_D11_1	NA
PRJNA604220	72	RNA-seq	Multiplex secretome engineering enhances recombinant protein production and purity	NA	NA	WT-Rituximab-Day6_rep1 | WT-Rituximab-Day8_rep1 | WT-Rituximab-Day4_rep2 | WT-Rituximab-Day6_rep2 | WT-Rituximab-Day8_rep2 | 6X-Rituximab-Day4_rep1 | 6X-Rituximab-Day6_rep1 | 6X-Rituximab-Day8_rep1 | 6X-Rituximab-Day4_rep2 | 6X-Rituximab-Day6_rep2 | 6X-Rituximab-Day8_rep2 | 11X-Rituximab-Day4_rep1 | 11X-Rituximab-Day8_rep1 | 11X-Rituximab-Day4_rep2 | 11X-Rituximab-Day6_rep2 | 11X-Rituximab-Day8_rep2 | WT-Rituximab-Day4_rep1 | 11X-Rituximab-Day6_rep1	NA
PRJNA623056	12	RNA-seq	Cricetulus griseus Raw sequence reads	V79 lung fibroblast cells	NA	AGL-2 | DUGL-1 | DUGL-2 | DUGL-3 | AGL-3 | AGL-1	5 | 3 | 2 | 1 | 4 | 6
PRJNA649238	9	RNA-seq	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	NA	NA	Surface background | KCl background | Below background	Surface rep 3 | Plus rep 3 | Plus rep 1 | Minus rep 1 | Surface rep 2 | Minus rep 2 | Surface rep 1 | Plus rep 2 | Minus rep 3
PRJNA763926	3	RNA-seq	Murine mast cell and mastocytoma transcriptome	ChA27	NA	Model organism or animal sample from Cricetulus griseus	S3 | S2 | S1
PRJNA824784	7	RNA-seq	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	NA	NA	RNAseq Chinese hamster 1 | Chinese hamster control | RNAseq Chinese hamster 5 | RNAseq Chinese hamster 4 | RNAseq Chinese hamster 3 | RNAseq Chinese hamster 2 | Chinese hamster oxidation	GSM6034634 | GSM6034610 | GSM6034638 | GSM6034637 | GSM6034636 | GSM6034635 | GSM6034611
PRJNA882483	2	RNA-seq	De novo emergence, existence, and demise of a protein-coding gene in murids [chinese hamster]	NA	NA	s_GV_WT_ChHam_r2.PE | s_GV_WT_ChHam_r1.PE	GSM6594843 | GSM6594842
PRJNA938154	96	RNA-seq	Deciphering the determinants of recombinant protein yield across the human secretome	Icosagen QMCF	expressing ADM5 | expressing CXCL13 | expressing GXYLT1 | expressing PCSK1 | expressing IL22 | expressing H6PD | expressing C6 | expressing NHLRC3 | expressing SERPINA9 | expressing MYL1 | expressing HGF | expressing LGALS3 | expressing COL2A1 | expressing SERPINA6 | expressing IL17B | expressing ITIH4 | expressing COL1A2 | expressing OIT3 | expressing CER1 | expressing EDDM3B | expressing ANGPTL2 | expressing CD209 | expressing NXPH4 | WT | expressing CCL20 | expressing MYOC | expressing FURIN_2 | expressing LRG1 | expressing SFTPD | expressing FN1 | expressing AGPS | expressing FGFBP3 | expressing SVEP1 | expressing ASGR1 | expressing HSP90B1 | expressing FCN2 | expressing PROCR | expressing PGLYRP3 | expressing FCN3 | expressing CCL23 | expressing BCHE | expressing HMGB1 | expressing VIP | expressing PPY | expressing PAMR1 | expressing PZP | expressing CCL21 | expressing SERPINA5 | expressing SERPINE2 | expressing PROC | expressing ADIPOQ | expressing ALB | expressing WFDC12 | expressing CHIT1 | expressing NXPH3 | expressing NXPH2 | expressing CCL14 | expressing FCER2 | expressing FLT3LG | expressing MMP14 | expressing IL20 | expressing ITGBL1 | expressing MSTN | expressing SHH | expressing FURIN_1 | expressing ST6GAL1 | expressing NCF1 | expressing MAN2B1 | expressing MFAP4 | expressing CTF1 | expressing ENG | expressing PINLYP | expressing MBL2 | expressing GLCE | expressing ANGPTL4 | expressing NPTX2 | expressing CHAD | expressing KL | expressing CXCL5 | expressing EPYC | expressing CD6 | expressing NAMPT | expressing LACTB | expressing RETN | expressing AGA | expressing BTBD17 | expressing MMP9 | expressing CTSL | expressing BSG | expressing NXPH1 | expressing SRPX | expressing ACVR2A | expressing NCAM1 | expressing FST | expressing PGLYRP4 | expressing GNAS	P6975_194 | P6975_193 | P6975_188 | P6975_160 | P6975_152 | P6975_149 | P6975_145 | P6975_174 | P6975_173 | P6975_172 | P6975_171 | P6975_167 | P6975_141 | P6975_132 | P6975_129 | P6975_124 | P6975_123 | P6975_118 | P6975_116 | P6975_115 | P6975_111 | P6975_110 | P6975_107 | P6975_196 | P6975_195 | P6975_191 | P6975_189 | P6975_187 | P6975_183 | P6975_161 | P6975_157 | P6975_155 | P6975_154 | P6975_153 | P6975_151 | P6975_146 | P6975_180 | P6975_178 | P6975_177 | P6975_176 | P6975_169 | P6975_168 | P6975_165 | P6975_164 | P6975_163 | P6975_140 | P6975_138 | P6975_133 | P6975_131 | P6975_125 | P6975_122 | P6975_114 | P6975_109 | P6975_108 | P6975_106 | P6975_105 | P6975_104 | P6975_102 | P6975_192 | P6975_190 | P6975_186 | P6975_185 | P6975_184 | P6975_162 | P6975_159 | P6975_158 | P6975_156 | P6975_150 | P6975_148 | P6975_147 | P6975_144 | P6975_143 | P6975_182 | P6975_181 | P6975_179 | P6975_175 | P6975_170 | P6975_166 | P6975_142 | P6975_139 | P6975_137 | P6975_136 | P6975_135 | P6975_134 | P6975_130 | P6975_128 | P6975_127 | P6975_126 | P6975_121 | P6975_120 | P6975_119 | P6975_117 | P6975_113 | P6975_112 | P6975_103 | P6975_101	GSM7061443 | GSM7061442 | GSM7061437 | GSM7061409 | GSM7061401 | GSM7061398 | GSM7061394 | GSM7061423 | GSM7061422 | GSM7061421 | GSM7061420 | GSM7061416 | GSM7061390 | GSM7061381 | GSM7061378 | GSM7061373 | GSM7061372 | GSM7061367 | GSM7061365 | GSM7061364 | GSM7061360 | GSM7061359 | GSM7061356 | GSM7061445 | GSM7061444 | GSM7061440 | GSM7061438 | GSM7061436 | GSM7061432 | GSM7061410 | GSM7061406 | GSM7061404 | GSM7061403 | GSM7061402 | GSM7061400 | GSM7061395 | GSM7061429 | GSM7061427 | GSM7061426 | GSM7061425 | GSM7061418 | GSM7061417 | GSM7061414 | GSM7061413 | GSM7061412 | GSM7061389 | GSM7061387 | GSM7061382 | GSM7061380 | GSM7061374 | GSM7061371 | GSM7061363 | GSM7061358 | GSM7061357 | GSM7061355 | GSM7061354 | GSM7061353 | GSM7061351 | GSM7061441 | GSM7061439 | GSM7061435 | GSM7061434 | GSM7061433 | GSM7061411 | GSM7061408 | GSM7061407 | GSM7061405 | GSM7061399 | GSM7061397 | GSM7061396 | GSM7061393 | GSM7061392 | GSM7061431 | GSM7061430 | GSM7061428 | GSM7061424 | GSM7061419 | GSM7061415 | GSM7061391 | GSM7061388 | GSM7061386 | GSM7061385 | GSM7061384 | GSM7061383 | GSM7061379 | GSM7061377 | GSM7061376 | GSM7061375 | GSM7061370 | GSM7061369 | GSM7061368 | GSM7061366 | GSM7061362 | GSM7061361 | GSM7061352 | GSM7061350
