run_accession	study_accession	sample_accession	experiment_accession	scientific_name	tax_id	study_title	sample_title	experiment_title	library_name	cell_line	cell_type	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
DRR048760	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048760/DRR048760.fastq.gz	9ef91446a0d7baf0f9e2266440b55560	56324213
DRR048766	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048766/DRR048766.fastq.gz	e406080196bab9bf3765f6ff79119a36	63407543
DRR048771	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048771/DRR048771.fastq.gz	927780612e6fb1b8ab0ba72c1130ef84	61054457
DRR048773	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048773/DRR048773.fastq.gz	61fa132e70d4661c94c00c7f422bffaf	58300237
DRR048775	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048775/DRR048775.fastq.gz	b3059a72e6d3b278c1a8050d1d489bde	51519006
DRR048777	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048777/DRR048777.fastq.gz	605e1499191c3d45ec9d6421bde58fca	64469897
DRR048780	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048780/DRR048780.fastq.gz	8d170f1ead7956a1e4d91be0f446354b	64994816
DRR048783	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048783/DRR048783.fastq.gz	36bf9c5db411dfcb037a4d0f00ba4c44	62366751
DRR048785	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048785/DRR048785.fastq.gz	dc30ea38ed529fcb162fd79bd4907ffd	58594391
DRR048788	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048788/DRR048788.fastq.gz	0fc3867bd0c954a13061556b50158506	68823629
DRR048789	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048789/DRR048789.fastq.gz	9a23d64927c808a8b5f13e4580a0aa49	60083605
DRR048791	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048791/DRR048791.fastq.gz	fb13a76d32060b8cb351d46c53494904	64360709
DRR048797	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048797/DRR048797.fastq.gz	113183986ced0a3cd1ae40bfb006d843	60822803
DRR048799	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048799/DRR048799.fastq.gz	c438bc03c8ba40233af9d22ecf1e4fe8	63527457
DRR048806	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048806/DRR048806.fastq.gz	f1bb7d02338670d464cff25c9eeab8bc	63158406
DRR048811	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048811/DRR048811.fastq.gz	8bc40db2d204f2add8cc6b8827e730bf	62025505
DRR048814	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048814/DRR048814.fastq.gz	fde6fa8302e3a6b04b372a5abbc3e04c	61828176
DRR048817	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048817/DRR048817.fastq.gz	bdadc13ae757eb10b01fbf16b5484b1d	65046349
DRR048819	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048819/DRR048819.fastq.gz	9bb882582e95b874fa648772a3247721	67040205
DRR048822	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048822/DRR048822.fastq.gz	7dd4cf099cf2dcef8fb0b69149f3a75d	61768065
DRR048827	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048827/DRR048827.fastq.gz	c0253b97afa6cb0fa7eeb7c336768092	62725087
DRR048830	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048830/DRR048830.fastq.gz	0eaa9608c32491a0d011d98d08252a93	66600645
DRR048843	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048843/DRR048843.fastq.gz	c4861c9ab4c5ded6a918532e937d4928	178262879
DRR048853	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048853/DRR048853.fastq.gz	700a0844aa8e0902c6a2ff2b2bf307d9	182133287
DRR048855	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048855/DRR048855.fastq.gz	13a562d8dc53ba4d41e5bdfd4064d9ec	191721209
DRR048857	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048857/DRR048857.fastq.gz	2aec3f0993b33695f3c56755bd04d1b3	178672211
DRR048870	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048870/DRR048870.fastq.gz	aa18b23a500c339e4f8737ecf599009a	184034269
DRR048872	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048872/DRR048872.fastq.gz	13044a868f947c975627aadf2899b35f	173189605
DRR048873	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048873/DRR048873.fastq.gz	118542ddbecb09304023dfbc801c7942	192731804
DRR048881	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048881/DRR048881.fastq.gz	6f031b646fbba4a7d0b747e6706c0675	186086654
DRR048897	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048897/DRR048897.fastq.gz	db59d8769647cbb649b26e05c9c84196	182218975
DRR048901	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048901/DRR048901.fastq.gz	d3cda2e02e8a4d8720110cf2c40d4b80	193912710
DRR048904	PRJDB4351	SAMD00042835	DRX044043	Cricetulus griseus	10029	CHO cells	CHO cells D8	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042835	Quartz-Seq CHO D8	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048904/DRR048904.fastq.gz	cca876b3d1f1bd988353a93982ce5e3e	189596029
DRR048913	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048913/DRR048913.fastq.gz	d521f884a37910ed3cead61e76672a18	199605730
DRR048915	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048915/DRR048915.fastq.gz	6d3d2e5d060799d05b1d6dee720917aa	182707749
DRR048924	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048924/DRR048924.fastq.gz	0162ed1c8bff3ca5dacf6ca28ff6df90	200250959
DRR048926	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048926/DRR048926.fastq.gz	209fb09bf9916f6ba383ede924ba28b9	168556659
DRR048931	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048931/DRR048931.fastq.gz	749a51a31b6108367e5309ead8c57460	199874350
DRR048932	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048932/DRR048932.fastq.gz	871367dcba0811e998ebf451de7c2b89	198933534
DRR048938	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048938/DRR048938.fastq.gz	5136b7795ecb03eb921dc658757d942c	181666910
DRR048940	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048940/DRR048940.fastq.gz	8cb4baf2cf201405e40de5d9b61953ee	185418046
DRR048942	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048942/DRR048942.fastq.gz	79e0c51dcaa5a6e542d1953c98e81d03	198633051
DRR048948	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048948/DRR048948.fastq.gz	81ac1f632da2c76172bf12a836d841fb	188114281
DRR048955	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048955/DRR048955.fastq.gz	9834cbdebf0404fefff5f59d32cc702b	190208293
DRR048956	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048956/DRR048956.fastq.gz	6443956b16ae6ffbda7911c5b20cb670	188450646
DRR048958	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048958/DRR048958.fastq.gz	d1c056a2419dcced8c32bbbd51eeaa11	190629961
DRR048963	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048963/DRR048963.fastq.gz	b6c500bb48e79517215ed4125bff01de	188612857
DRR048966	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048966/DRR048966.fastq.gz	fdef7575dcde04ff1376377ceb793725	220362080
DRR048970	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048970/DRR048970.fastq.gz	383001f89c7ad3b32d4e9205f80ac16f	184095675
DRR048986	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048986/DRR048986.fastq.gz	5f9f6fb67eeaf49de382dd2806eafb35	188170526
DRR048990	PRJDB4351	SAMD00042833	DRX044041	Cricetulus griseus	10029	CHO cells	CHO cells D11	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042833	Quartz-Seq CHO D11	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048990/DRR048990.fastq.gz	4a29f5d073f37af48657dfd65e721a44	200344966
DRR091440	PRJDB5737	SAMD00079372	DRX085010	Cricetulus griseus	10029	Phenobarbital exposed CHO-K1 cells	2.5 mM to 0 mM phenobarbital exposed CHO-K1 cells	Illumina HiSeq 2000 sequencing: Illumina HiSeq 2000 sequencing of SAMD00079372		CHO-K1	adherent	RNA-Seq	TRANSCRIPTOMIC	PolyA	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/DRR091/DRR091440/DRR091440.fastq.gz	af6cd5c5e3cc49cb1d47fa17b3a60efc	1175631746
DRR093875	PRJDB5831	SAMD00082623	DRX087371	Cricetulus griseus	10029	CHO-DG44	CHO-DG44 lgG3SC39	Illumina HiSeq 2000 paired end sequencing: Illumina HiSeq 2000 paired end sequencing of SAMD00082623		CHO-DG44 lgG3SC39	epitherial	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/DRR093/DRR093875/DRR093875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR093/DRR093875/DRR093875_2.fastq.gz	47b9a8a8b5e40cbc23607f3b1ddd192a;349744544a6076852c0da931ed306847	3662709413;3642917887
DRR096596	PRJDB5897	SAMD00084267	DRX090092	Cricetulus griseus	10029	Polyploid CHO cells	SC20m	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00084267		CHO-DG44		RNA-Seq	TRANSCRIPTOMIC	PolyA	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR096/DRR096596/DRR096596.fastq.gz	83edfa7488fe4041494f5fb2677577b6	1980526373
DRR096599	PRJDB5897	SAMD00084270	DRX090095	Cricetulus griseus	10029	Polyploid CHO cells	SC39t	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00084270		CHO-DG44		RNA-Seq	TRANSCRIPTOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR096/DRR096599/DRR096599.fastq.gz	a63222b00bd3aeda051381572d01201b	2034531875
DRR099453	PRJDB6126	SAMD00089406	DRX092931	Cricetulus griseus	10029	Transcriptome of cultured CHO-S cells	Chinese Hamster Ovary (CHO-S) cells, 3 days in culture, time lag from harvesting cells to protecting RNA: 15 min, technical replicate: 1	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00089406		CHO-S	Suspension cells	RNA-Seq	TRANSCRIPTOMIC	PolyA	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099453/DRR099453.fastq.gz	b1eaca88de808cefeb358419b3d826d2	279260312
DRR099455	PRJDB6126	SAMD00089408	DRX092933	Cricetulus griseus	10029	Transcriptome of cultured CHO-S cells	Chinese Hamster Ovary (CHO-S) cells, 3 days in culture, time lag from harvesting cells to protecting RNA: 15 min, technical replicate: 3	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00089408		CHO-S	Suspension cells	RNA-Seq	TRANSCRIPTOMIC	PolyA	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099455/DRR099455.fastq.gz	43b0a0380bb8bc9e8196385dd16c21bd	275626851
