study_accession	sample_accession	experiment_accession	run_accession	omics	library_strategy	library_layout	processing_layout	fastq_structure	fastq_role	file_index	filename	fastq_ftp	fastq_md5	fastq_bytes
PRJNA645419	SAMN15504220	SRX8707281	SRR12194152	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR12194152_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/052/SRR12194152/SRR12194152_1.fastq.gz	e3480e3c04bc758ba0e0d75d6ed7165f	4012080138
PRJNA645419	SAMN15504220	SRX8707281	SRR12194152	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR12194152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/052/SRR12194152/SRR12194152_2.fastq.gz	a774bd23e34997fa92373308956c7763	4078142031
PRJNA661407	SAMN16057385	SRX9074579	SRR12587964	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR12587964_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/064/SRR12587964/SRR12587964_1.fastq.gz	524b65df43957f9cd6c2be8886c74943	1595821091
PRJNA661407	SAMN16057385	SRX9074579	SRR12587964	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR12587964_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/064/SRR12587964/SRR12587964_2.fastq.gz	f0a5680559348e0a8aef1c6720e51ed7	1735187065
PRJNA662582	SAMN16089549	SRX9101121	SRR12618091	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618091.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/091/SRR12618091/SRR12618091.fastq.gz	42ab0d27a3be06e1f9e835789d2fdf34	3519791906
PRJNA662582	SAMN16089547	SRX9101122	SRR12618094	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618094.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/094/SRR12618094/SRR12618094.fastq.gz	f19cec12f93d86cc77edbec3ca68f7d7	3229059441
PRJNA662582	SAMN16089546	SRX9101123	SRR12618097	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618097.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/097/SRR12618097/SRR12618097.fastq.gz	d6c3c9112513d3b594eb760eda49cbc6	3707680180
PRJNA662582	SAMN16089593	SRX9101125	SRR12618101	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618101.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/001/SRR12618101/SRR12618101.fastq.gz	4599d5a50a41e75828a5b01003b02e57	3236283993
PRJNA662582	SAMN16089586	SRX9101131	SRR12618115	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618115.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/015/SRR12618115/SRR12618115.fastq.gz	79c8d9d0ddb65c4c6002622bb230f2fa	3456894766
PRJNA662582	SAMN16089584	SRX9101133	SRR12618119	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618119.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/019/SRR12618119/SRR12618119.fastq.gz	630aa386a7f267172ed5f12a57e3749b	3056600518
PRJNA662582	SAMN16089582	SRX9101135	SRR12618124	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618124.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/024/SRR12618124/SRR12618124.fastq.gz	a1bd300feddacdf598a9e41eb5bd4a1f	3068253538
PRJNA662582	SAMN16089579	SRX9101138	SRR12618131	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12618131.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/031/SRR12618131/SRR12618131.fastq.gz	1bd37c338afc1053e141196c0d1a3952	3673675443
PRJNA667472	SAMN16373837	SRX9245426	SRR12774926	ATAC-seq	ATAC-seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12774926.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/026/SRR12774926/SRR12774926.fastq.gz	3aac9d06173556067b888a1b0f83ed7d	720408625
PRJNA667472	SAMN16373831	SRX9245428	SRR12774928	ATAC-seq	ATAC-seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR12774928.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/028/SRR12774928/SRR12774928.fastq.gz	4e40b6e12dd2e8d5a2b3fd22f934534d	526971813
PRJNA667472	SAMN16373864	SRX9245458	SRR12774958	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR12774958_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12774958/SRR12774958_1.fastq.gz	d3c0eecb5b5ce8fcd8e1a74376abd966	1562160926
PRJNA667472	SAMN16373864	SRX9245458	SRR12774958	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR12774958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12774958/SRR12774958_2.fastq.gz	056265cba5ffead68ae6fa386a944a67	1734126914
PRJNA739051	SAMN19770454	SRX11178688	SRR14860925	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860925_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/025/SRR14860925/SRR14860925_1.fastq.gz	3cb55e3fa83162f056a9ee4928e2bf3d	3068873313
PRJNA739051	SAMN19770454	SRX11178688	SRR14860925	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860925_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/025/SRR14860925/SRR14860925_2.fastq.gz	fd94597151aba07fede17d6547c6bce6	3434926155
PRJNA739051	SAMN19770453	SRX11178687	SRR14860926	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860926_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/026/SRR14860926/SRR14860926_1.fastq.gz	845f833488eaa8a95eadb62a1eaab774	3701042879
PRJNA739051	SAMN19770453	SRX11178687	SRR14860926	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860926_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/026/SRR14860926/SRR14860926_2.fastq.gz	8f632c42884984121d0bfc58cad9f230	4228988761
PRJNA739051	SAMN19770453	SRX11178686	SRR14860927	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860927_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/027/SRR14860927/SRR14860927_1.fastq.gz	81583485d6e0ee478d564796bb265122	3260142326
PRJNA739051	SAMN19770453	SRX11178686	SRR14860927	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/027/SRR14860927/SRR14860927_2.fastq.gz	e1855980690b72de59722bcf844048fe	3930514978
PRJNA739051	SAMN19770456	SRX11178680	SRR14860933	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860933_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/033/SRR14860933/SRR14860933_1.fastq.gz	0039a006ec70024634844ef51fd0d411	3484260271
PRJNA739051	SAMN19770456	SRX11178680	SRR14860933	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/033/SRR14860933/SRR14860933_2.fastq.gz	cc3275818b20ee290f429546385fa19f	3934965638
PRJNA739051	SAMN19770456	SRX11178678	SRR14860935	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860935_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/035/SRR14860935/SRR14860935_1.fastq.gz	e12ae03faedceb80682381c9c404a784	3292551779
PRJNA739051	SAMN19770456	SRX11178678	SRR14860935	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/035/SRR14860935/SRR14860935_2.fastq.gz	ec5311c0d17fa181c3af2fab033e4335	3748465785
PRJNA739051	SAMN19770451	SRX11178672	SRR14860941	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860941_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/041/SRR14860941/SRR14860941_1.fastq.gz	7f996b2f8b54f555d75a90ccf6a957f1	3264288844
PRJNA739051	SAMN19770451	SRX11178672	SRR14860941	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/041/SRR14860941/SRR14860941_2.fastq.gz	bb9435fc4cea366e2424e8e323bda108	3717665778
PRJNA739051	SAMN19770451	SRX11178671	SRR14860942	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR14860942_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/042/SRR14860942/SRR14860942_1.fastq.gz	77699f3af4a349edaf6d09856a0cec47	3361626313
PRJNA739051	SAMN19770451	SRX11178671	SRR14860942	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR14860942_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/042/SRR14860942/SRR14860942_2.fastq.gz	1680984c2f2b9c630d333b0948aad594	3825701124
PRJNA746067	SAMN20179685	SRX11420374	SRR15111553	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111553_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/053/SRR15111553/SRR15111553_1.fastq.gz	e6b67fa2c5e9260c2d9666a62c750e78	1877467526
PRJNA746067	SAMN20179685	SRX11420374	SRR15111553	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/053/SRR15111553/SRR15111553_2.fastq.gz	d1a78875243cdeefc2004a8999166e3d	1932185499
PRJNA746067	SAMN20179681	SRX11420370	SRR15111557	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111557_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/057/SRR15111557/SRR15111557_1.fastq.gz	8643f0aa651d04455998ad99b0b0fa55	1584579845
PRJNA746067	SAMN20179681	SRX11420370	SRR15111557	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/057/SRR15111557/SRR15111557_2.fastq.gz	f725ce4eefbc58d43bd5d099d7f4112e	1580230993
PRJNA746067	SAMN20179679	SRX11420368	SRR15111559	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111559_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/059/SRR15111559/SRR15111559_1.fastq.gz	9d7091ad94ba74aa0e976bc4291383db	1573476894
PRJNA746067	SAMN20179679	SRX11420368	SRR15111559	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/059/SRR15111559/SRR15111559_2.fastq.gz	8788505bf4c5d4a9cf65d09862d5703a	1570889552
PRJNA746067	SAMN20179672	SRX11420363	SRR15111564	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111564_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/064/SRR15111564/SRR15111564_1.fastq.gz	30e9ee291c5669421cac23a409d9c5aa	877099461
PRJNA746067	SAMN20179672	SRX11420363	SRR15111564	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/064/SRR15111564/SRR15111564_2.fastq.gz	d33fda2572a6f527fead9198db72652b	893311991
PRJNA746067	SAMN20179695	SRX11420355	SRR15111572	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111572_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/072/SRR15111572/SRR15111572_1.fastq.gz	de05598f0059bb0816c1cd77e3d83783	2005355710
PRJNA746067	SAMN20179695	SRX11420355	SRR15111572	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/072/SRR15111572/SRR15111572_2.fastq.gz	cb7e42719eba194cca85f9ea137c7616	2065943005
PRJNA746067	SAMN20179694	SRX11420354	SRR15111573	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111573_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/073/SRR15111573/SRR15111573_1.fastq.gz	e24eed7024a7c2e65f0f0b164eda0fab	2520752825
PRJNA746067	SAMN20179694	SRX11420354	SRR15111573	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/073/SRR15111573/SRR15111573_2.fastq.gz	0b3cb9bcb3f82407080530c46c90db4e	2588378549
PRJNA746067	SAMN20179693	SRX11420353	SRR15111574	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111574_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/074/SRR15111574/SRR15111574_1.fastq.gz	6675c99ac21dc72deb237b240dd4d3db	1797912635
PRJNA746067	SAMN20179693	SRX11420353	SRR15111574	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/074/SRR15111574/SRR15111574_2.fastq.gz	72dbdcabf7ad41a920746e186c6c0586	1865610452
PRJNA746067	SAMN20179691	SRX11420351	SRR15111576	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111576_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/076/SRR15111576/SRR15111576_1.fastq.gz	0ad9b347ce1295eff4efa9dc64831796	1134938851
PRJNA746067	SAMN20179691	SRX11420351	SRR15111576	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/076/SRR15111576/SRR15111576_2.fastq.gz	e2ca4838374f16bf2b07b9ff09cea267	1160827046
